,review,title,isEdited,developerResponse,date,rating,userName
0,10년전 첫째 낳기전 뱀다를 시즌5까지인가 봤었는데 임신하면서 태교땜에 참고 그만보게 되였다가 최근에야 쿠팡플 레이에서 있는걸 보고 보기시작해서 8까지 다 봤네요 너무너무 좋았어요 . 대박에요 👍시즌1부터 8까지 있는곳을 찾지 못했었는데 여기서 그것을 이뤘네여. 오리지널스 시즌도 함께 올려주시면 더더더욱 좋을거 같아요 ㅠㅠㅠㅠㅠ 너무너무너무 보고싶어요,쿠팡플레이 너무 좋아요👍,False,"{'id': 26523819, 'body': '안녕하세요, 고객님. 쿠팡플레이 입니다.\xa0\n쿠팡플레이 이용과 따뜻한 리뷰 남겨주셔서 감사합니다. 고객님께서 쿠팡플레이를 잘 이용해 주시고 계신 것 같아 굉장히 기쁩니다! 계속해서 더 큰 즐거움과 행복을 드릴 수 있도록 최선을 다하겠습니다. 앞으로도 많은 관심 부탁드립니다! \n감사합니다.', 'modified': '2021-11-29T05:39:18Z'}",2021-11-24 00:47:10,5,쥬니 쥬니
1,와우회원인지 몇개월 됬는데 이런 콘텐츠가 있는줄 몰랐네요~와~해리포터가 ?????리얼???아들이 계속 돈내고 시즌전부를 돌려봐서 좀 부담됬는데...아침 이거를 발견하고 진짜 넘 좋았어요😃이제 영문자막으로 공부도 할겸^^실컷 보게 해야겠어요~딸이 보더니 공부에 관련된 영상도 있다고^^자기가 찾던 영화도 있다고^^그리고 좋은 작품들을 복잡한 절차없이 다운받아서(아직 다운해서 보지는 못했음^^)정말 잘 이용할것같아요~이런 혜택을 왜 못누렸는지😅이제라도 알게되서 넘 좋네요^^,최고,False,"{'id': 29022389, 'body': '안녕하세요 bhe808 고객님, 쿠팡플레이입니다 :) 쿠팡플레이를 이용해주시고 따뜻한 리뷰 남겨주셔서 감사합니다. 앞으로도 더 편리한 서비스와 다양한 콘텐츠를 제공 드릴 수 있도록 더욱 노력하겠습니다. 최고의 OTT 서비스가 될 쿠팡플레이를 기대해주시고 계속해서 함께 해주세요! 💙 감사합니다.', 'modified': '2022-04-07T04:34:43Z'}",2022-04-05 23:14:20,5,bhe808
2,초반엔 사실 컨텐츠 부족으로 있으나 마나 였고 차치 배달 때문에 해둔거라 방치 해뒀는데 셜록 해리포터 한드 애니 등등 컨텐츠 미친듯이 늘었네요.... 쿠팡 가격 오른다는데 이것때문에 올라도 유지 할거같아요 컨텐츠 더더 많이 넣어주세요 감사합니다,진짜 최고,False,"{'id': 29526690, 'body': '안녕하세요 악플만 적음 고객님, 쿠팡플레이입니다. 높은 평점과 소중한 리뷰로 응원을 보내주신 덕분에 큰 힘이 되었습니다! 💖 앞으로도 고객이 원하는 다양한 볼거리를 제공하기 위해 열심히 달리겠습니다. 쿠팡플레이 앱 [공개 예정] 탭에서 공개 예정작들을 확인해 주시고, 트위터와 인스타그램에서 @Coupangplay 를 팔로우하시거나 쿠팡플레이 앱에서 제공하는 알림 설정에 동의하시면 새로운 콘텐츠를 가장 빠르게 확인해 보실 수 있습니다. 쿠팡플레이에 원하는 콘텐츠 혹은 서비스 개선 의견이 있을 때 [프로필] - [의견 남기기]에 남겨주시고, 항상 고객들의 다양한 목소리에 귀 기울이겠습니다. 쿠팡플레이와 함께 오늘도 즐거운 하루 되시길 바랍니다. 감사합니다. ', 'modified': '2022-05-03T08:12:41Z'}",2022-04-30 07:49:46,5,악플만 적음
3,"쿠팡을 갓팡이라 하는 이유 중 하나가 바로 쿠팡플레이일 정도로 감동받으며 서비스를 이용하고 있습니다.
아이폰, 아이패드, 웹OS등등 잘 사용하고 있는데요, 애플TV용 앱이 아직 없어서 많이 아쉽습니다. 
애플TV용 앱을 어서 빨리 서둘러 출시해 주시면 감동은 배가 될 것 같습니다.^^
감사합니다. 쿠팡!!",애플TV용 앱개발 좀 서둘러 부탁드려요.,False,"{'id': 26683481, 'body': ""안녕하세요, 쿠팡플레이 입니다. 소중한 의견 감사합니다.\xa0\n고객님의 편안한 시청 환경을 위해 '애플 TV' 지원 기능도 추후에는 제공 드릴 수 있도록 최선을 다하겠습니다. 앞으로도 더 편리하고 즐거운 서비스를 제공해 드리도록 최선을 다하겠습니다.\n감사합니다."", 'modified': '2021-12-07T04:00:54Z'}",2021-12-05 15:50:10,5,Chadiiiii
4,"쿠팡와우 몇년 사용중인데 이거 있다는거 오늘 알았음. ㅋㅋㅋㅋㅋㅋㅋ 정말 깊은 빡침이 왔었음. 솔직히 넷플보다 시스템 안정화가 덜 됬고 컨텐츠는 적은데, 예상외인 작품들이 아주 상~~~~~~~당히 많음. 그중에 해리포터시리즈, 반지의제왕 호빗 그리고 원피스 전시리즈에다가 (일본어 음성이 아닌점은 싫지만 ㅠㅠ) 그리고 무엇보다 무.한.도.전.이 있었음. ㅋㅋㅋㅋㅋㅋ 깜짝놀랐음 진짜 엄청난 혜자가 아닐수 없음. 쿠팡이 너무 고마웠음 ㅋㅋㅋㅋㅋㅋ",한달 배송포함 2900원에 이정도면 진짜 절.대 나쁜거 아님,False,"{'id': 26397111, 'body': '안녕하세요, 고객님. 쿠팡플레이 입니다.\xa0\n쿠팡플레이 이용과 따뜻한 리뷰 남겨주셔서 감사합니다. 고객님께서 쿠팡플레이를 잘 이용해 주시고 계신 것 같아 굉장히 기쁩니다! 계속해서 더 큰 즐거움과 행복을 드릴 수 있도록 최선을 다하겠습니다. 앞으로도 많은 관심 부탁드립니다! \n감사합니다.', 'modified': '2021-11-22T06:09:27Z'}",2021-11-20 11:22:18,5,넷플사용자
5,"2,900원에 있는 없는 거 다 퍼주시네.. 국민 배송앱이라고 말해도 과언이 아닐 정도.. 저희 가족도 처음엔 X마켓, 11X가, 등등 쇼핑몰 썼는데 어느새 보니까 다 쿠팡으로 넘어와있더라구요ㅋㅋ 역시 믿고 쓰는 쿠팡!! 배달기사분들도 정말 사랑합니다❤️ 쿠팡.. 앞으로 전세계로 쭉 뻗어나가자.. 
최강.. 우주 최강………",쿠팡 이렇게 장사하면 남는게 뭐예요?,False,"{'id': 26523853, 'body': '안녕하세요, 고객님. 쿠팡플레이 입니다. \n쿠팡플레이 이용과 따뜻한 리뷰 남겨주셔서 감사합니다. 고객님께서 쿠팡플레이를 잘 이용해 주시고 계신 것 같아 굉장히 기쁩니다! 계속해서 더 큰 즐거움과 행복을 드릴 수 있도록 최선을 다하겠습니다. 앞으로도 많은 관심 부탁드립니다! \n감사합니다!', 'modified': '2021-11-29T05:41:33Z'}",2021-11-26 15:21:02,5,Jsy lovely
6,쿠팡 와우 회원인데 오늘 처음 알고 깔아서 보는데 진짜 네땡 티땡 왓땡 보다 좋은거 같아요. 고화질도 빨리 전환되고 지금하는 드라마들도 있고... 볼거 너무 많아요!!!! 진짜 최고!!!!!!👍🏻👍🏻👍🏻 개발자님 최고입니다!!!!!🤍,이거 진짜 미쳤네요!!!!,False,"{'id': 26572872, 'body': '안녕하세요, 고객님. 쿠팡플레이 입니다. \n쿠팡플레이 이용과 따뜻한 리뷰 남겨주셔서 감사합니다. 고객님께서 쿠팡플레이를 잘 이용해 주시고 계신 것 같아 굉장히 기쁩니다! 계속해서 더 큰 즐거움과 행복을 드릴 수 있도록 최선을 다하겠습니다. 앞으로도 많은 관심 부탁드립니다!\n감사합니다.', 'modified': '2021-12-01T05:27:41Z'}",2021-11-29 12:18:39,5,jinnnnnnnjajajajajajajaja
7,"처음엔 snl만 보다가 점점 다양한 프로가 생겨서 좋은것같아요. 최근에 안나 너무 재밌게 보고 있습니다.
앞으로도 좋은 프로 많이 만들어주세요:)",만족,False,,2022-07-02 04:19:29,5,보경꽃
8,"설명이 필요한가요.
괄목상대라는 말이 적합합니다 처음에는 아무것도 없었는데 어떤 OTT보다 빠르게 성장하네요.
애플TV 셋톱만 지원해주면 완전체일것 같아요.
애플TV 지원 기대해봅니다",갓팡,False,"{'id': 26572866, 'body': ""안녕하세요, 고객님. 쿠팡플레이 입니다.\xa0\n쿠팡플레이 이용과 따뜻한 리뷰 남겨주셔서 감사합니다. 고객님께서 쿠팡플레이를 잘 이용해 주시고 계신 것 같아 굉장히 기쁩니다! 계속해서 더 큰 즐거움과 행복을 드릴 수 있도록 최선을 다하겠습니다.\xa0\n고객님의 편안한 시청 환경을 위해 '애플 TV' 지원 기능도 추후에는 제공 드릴 수 있도록 최선을 다하겠습니다. 앞으로도 더 편리하고 즐거운 서비스를 제공해 드리도록 최선을 다하겠습니다.\n감사합니다."", 'modified': '2021-12-01T05:27:08Z'}",2021-11-29 14:37:56,5,i딘
9,"++ 티비 스토어에서 쿠팡플레이 다운받아서 연결했어요 !  

쿠팡 와우 회원이면셔 이런게 있는걸 이제 알았어여 덱스터랑 무도가 있네요!!! 넷플에 없는 것들이 있어서 넘 좋아요 근데 티비로 보고 싶은데 화면 공유가 안되네요 ㅜㅜㅠ 기기 검색이 안되더니 업데이트 했더니 아예 없어졌네요 다른 기기로 볼 수 있는 기능 좀 해주세요",!?,False,,2021-11-29 01:45:36,5,냐옹냐옹냥냥
