,userName,title,isEdited,review,date,rating
0,mugmuggle,업데이후 이후로 자막이 혼자 꺼져요,False,"보고있는데 자막이 자꾸 혼자 꺼져요
영어면 또 그냥 듣다가 키겠는데 다른언어면 다시 껏다켰다 다시 돌아가서 보고 해야되서 두배로 빡침..
빨리 개선해주세요..

그리고 넷플에 진짜 추가됬으면 하는건 내가 다본작품보기.. 전부는 아니어도 제가 좋다고 표시한 작품이라도 앱에서 다시 볼수있었으면 좋겠어요;",2020-09-29 18:36:48,3
1,Jdhhc,모자이크 처리 좀 제발,False,"방송 규제 때문에 모자이크 처리하는 건 알겠지만 왜 애니메이션만 그런 규제를 걸어놓았는지 모르겠습니다 그것도 다른 나라에서는 그렇지 않은데 우리나라에서만 그런 규제가 있다고 합니다 이 때문에 영상을 볼 때 몰입도가 현저히 떨어져요 타 서비스인 웨XX, 왓X 에서는 무삭제심의버전으로 받아온다고 하는데 왜 넷플릭스에서만 방송용 심의버전으로 가지고 오는지 모르겠습니다… 평소 넷플릭스를 정말 애용하는데 이 부분만 고쳐주시면 정말 감사하겠습니다 부탁드리겠습니다",2021-11-11 04:52:14,5
2,양세찬,그냥 개발적으로 개선됐으면 하는 부분 적어요,False,"어플 자체는 완전 잘 쓰고 있습니다. 다만
1. 어떤 작품을 실수로 눌러 재생했을 때, 해당 작품이 계속 시청 중인 콘텐츠로 뜨는데, 이걸 삭제할 수 있었으면 좋겠어요.
2. ios13 아이폰X 사용 중입니다. 재생 종료 후 메인 화면이 정상적으로 출력되지 않고 상단 중앙부만 확대되어 출력되는 경우가 있습니다.
3. 한 화를 다 본 후 바로 터치해 하단에 있는 다음화를 눌러 넘어갈 시, 다음화가 재생되고 있음에도 한 화 마지막 부분에 자동으로 팝업되는 다음 화 인터페이스가 계속 떠 있습니다. 터치해도 안 사라져요.
고생 많으십니다!",2019-12-12 08:36:39,5
3,와아나,별점 높게 하면 위로 뜬다길래 높게 함.,False,"일단 먼저 영화가 너무 적음;; 넷플릭스 가격은 겁나 비싸졌는데 영화는 왤케 빠져요..장난하세요? 영화 장르는 많은데 그중에서 있는게 거의 없잖아요..드라마는 모르겠는데 영화라도 많이 넣어주던가요. 그럴거면 가격 내리세요. 처음에는 괜찮다가 왜 변하는거지? 이해 할수가 없네..
됐고 가격 안내릴거면 영화 더 넣으세요^^ 그리고 자막 크게 직접 수정할수 있게 좀 만들어주셈요..진짜로오..",2022-01-16 16:50:05,5
4,친구할인코드 묵찌빠,좋아요한 작품만 따로 볼 수 있게…,False,다른거는 다 좋은데 찜한 목록 말고 자신이 평가한 목록들 볼 수 있었으면 좋겠어요. 예전에 되게 재밌게 봤던것들 정주행을 자주하는 편인데 좋다고 평가한 것들을 못 봤서 좀 아쉽네요ㅜㅜ 평가 목록 꼭 추가 됐으면 좋겠어요,2022-01-10 11:35:07,5
5,hezel07,깔끔하고 편한 어플,False,"베스트 리뷰에 반대하는게,
저는 다른 사람의 리뷰나 평점은 보고 싶지 않아요.

검색 개선과 카테고리가 좀 더 개선 됐으면 좋겠고요, 어떤 작품들이 업데이트 됐는지 쉽게 볼 수 있었으면 좋겠어요. 넷플릭스는 아직 그런 쪽은 불편해서 트위터의 업데이트 봇을 구독할 수 밖에 없는 상황이예요.",2019-10-17 10:35:45,5
6,김밍글,에바임,False,아니 왜자꾸 아이패드랑 폰으로 볼때만 어떤 드라마든 1~2분남은 시점에서 화면 멈추거나 검은 화면으로 바뀌는지 모르겠거든요 고쳐주세요 에바임,2021-09-23 01:02:03,5
7,광고 때문에 게임 못하는 사람,최고의 앱,False,"넷플릭스 넷플릭스 하는 이유가 있습니다.
다들 넷플릭스 얘기만 하길래 얼마나 대단하길래 하면서 깔아볼려고 했더니 다른 앱이 평점이 높아서 다른 앱으로 쓰다가 그 앱이 드라마나 영화가 많이 없어서 넷플릭스로 한달 무료이용 해봤는데 여기가 볼만한게 훨씬 많은듯 합니다 
왜 평점이 이렇게 낮을까요..? 심지어 넷플릭스에서만 하는 드라마나 영화도 있으니까 그냥 넷플릭스 이용하는게 정답... 약간 아쉬운 점은 영화나 드라마 작품들 보고나서 후기 같은거 올리고 그 후기 볼 수 있었으면 좋겠어요 약간 작품마다 게시판? 이라고 해야할까요.. 아무튼 넷플릭스 하세요! 그리고 넷플릭스 관계자님,, 좋아하면 울리는 2 매일 기다립니다.. ㅠㅠ 작은 소식이라도 들려주시와요,,,",2021-01-31 18:45:52,5
8,익명.K,시즌 좀 띄엄띄엄 해놓는게 별 하나 깎았어요,False,"너무 좋고 잘 쓰고있지만 애니메이션 시즌을 좀 늘려주세요 계약 문제인지 모르겠지만 스티븐 유니버스, 핀과 제이크 등 시즌이 많은 애니들 시즌은 왜 중간만 있는거죠? 진짜 좋아했는데 마지막화를 못 보고 있습니다 스티븐 유니버스 시즌5만이라도 해주세요 제발 간절합니다 전에는 있었는데 왜 사라진거죠",2020-05-07 13:34:26,4
9,gkfjdjjdj,넷플릭스 잘 보고있는데요 문제가 있어요,False,그 영상 보는 중에 끝날 때 쯤에  갑자기 화면 어두워 지면서 아무것도 안보여요 빠른 해결 부탁드립니다,2021-09-16 04:22:50,4
