,rating,review,isEdited,date,title,userName,developerResponse
0,5,"개발자 및 경영진분들 꼭 보시라고 별5개 답니다????? 꼭 읽으세요. 방금 결제마치고 그레이아나토미 시즌3 1화 보기시작(넷플엔 없는시즌이라 왓챠로 보기위해 결제) 그러나 첫 재생하기 무섭게 1분에 한번씩 버퍼링... 한 화 보는 내내 이러네요????? 등장인물 대화가 이어지지 않음...... 어떻게 보라는겁니까? 환불받고싶어서 환불규정 보니 재생이력 없어야 한다고 기재해놓으셨네요?? 환불규정 만드시는거 만큼 품질에도 신경좀 쓰세요 ㅡㅡ 품질 개선 안된상태에서 넷플따라가려고 회원수만 늘리니 답이 없죠. 앱ui들도 예전에 비해 넷플이랑 비슷한게 많이 보이고 ㅋㅋㅋㅋㅋㅋ참고로 2018년구입 엘지스마트티비 내 왓챠앱으로 감상함
다른건 같은조건이며 넷플은 최고사양으로 감상할때랑 비교해봐도 형편없네요...한달 억지로 채우고 해지합니다",False,2020-05-26 12:27:32,버퍼링실화냐???,저내림,
1,5,"넷플릭스에서 왓챠로 넘어온지 2개월째입니당
음 영화를 좋아하시는 분이라면 넷플릭스보다는 왓챠를 추천드려요! 제 기준으로는 훨씬 다양하고 많은 양질의 영화를 볼 수 있었어요.. 또 약가 독립영화같은 주변부영화들이 꽤 많다는 것도 인상깊었어요. 아직 본 적은 없지만 조만가 볼 예정이에요! ㅇ그리고 일주일에 한번씩 신작이 업데이트되는데 다음주에는 뭐가 새롭게 업데이트될까? 두그듀근대면서 막 올라온 신작을 보는 재미도 아주 쏠쏠하더라구요! 코로나때문에 집밖에도 못나가고 과제랑 왓챠만 하는중이네요 ㅋㅋ 
영화를 보는 시야나 선택하는 폭이 왓챠덕분에 한층 넓어진 거 같아요!! 고마워요 왓챠❤️앞으로도 쭉 이용할게요!! 늘 감사합니다:)",False,2020-04-06 06:40:28,너무좋아요❤️,dkqjfsqfe,
2,5,"업데이트 전으로 되돌리는 방법이 있나요?
최신으로 업데이트 한 후 다 본 작품도 볼 수가 없고 보관함도 일렬로 바뀌어 한눈에 보기 어려워졌어요 점점 넷플릭스랑 비슷하고요 찜 누르는 거나 평점도 전이 훨씬 편하고 좋았어요 지금 서비스들이 불편해요",False,2022-07-01 02:30:57,업데이트 전으로 되돌리기,뾰롱로로,
3,5,안녕하세요! 코로나때문에 너무 심심해서 넷플로 먼저 시작했는데 너무 볼 것이 없어 왓챠로 갈아탔습니다.정말 넷플보다 더 재미있는 영화도 엄청 많고 다양해서 주변 지인분께 꼭 왓챠로 보라고 추천도 할만큼 정말 잘 쓰고 있습니다❤️그 다양하고 재미있는 영화들속에 하필 ‘나의 소녀시대’가 없어 조금 아쉬운 상태입니다.Hoxy 되신다면 나의 소녀시대도 꼭 신작으로 올려주세요🥰❤️기다리고 있겠습니다❤️🥰💖,False,2020-08-25 01:03:45,왓챠 최고예요❤️,jsa38,
4,5,맥북으로 보시려면 앱스토어에서 아이패드용 앱으로 다운 받으시면 됩니다~ 그리고 유튜브나 넷플은 'friendly streaming' 다운 받으시면 보는거 가능,False,2021-03-01 10:45:08,맥북으로 왓챠 볼 수 있어요~!,dkjfew,
5,5,"핸드폰 바꾸고 나서 가장 먼저 깐 앱이 왓챠플레이일정도로 디자인도 예쁘고 어플 속 제공되는 영화들도 알차서 너무 좋아요! 그리고 저는 항상 영화를 본 뒤 상대방의 의견 듣는 것을 좋아하는데 밑에 여러 사람들의 리뷰들도 남겨져 있어 아주 만족스럽게 잘 이용하고 있습니다 ㅎㅎ ♡⁺◟(●˙▾˙●)◞⁺♡ 
그런데 한 가지 부탁드리고 싶은 점이 있다면 영화가 끝나고 볼 수 있는 명대사가 종종 안 뜰 때도 있어 속상하더라구여 ㅠㅠ 제가 제일 좋아하는 부분이라 엔딩 크레딧 때부터 기대하는데 계속 껐다 키는데도 아무것도 뜨지 않아 울면서 어플 종료합니다 ㅠㅠ 이 부분만 개선해주시면 더 편리하게 이용할 수 있을 것같아요 항상 좋은 영화 볼 수 있게 해주셔서 감사합니다!! ٩(๑•̀o•́๑)و",False,2019-01-21 18:55:33,진짜 최고의 앱 너무 좋아요! 그런데 왜 명대사가..ㅠㅠ,분신정열,
6,5,"원래 리뷰 잘안쓰는데 왓챠 넘 맘에들어서 개선점 올려요! 화면 탭으로도 재생, 일시정지 전환가능하면 좋겠어요. 앞,뒤로 몇초씩 건너뛰는 기능있으면 좋겠어요. 한글판이어도 한글자막 볼수있게해주세요, 소리끄고 볼때도 있거든요. 그리고 이번에 바뀐로고 안예뻐요 ㅜ 요즘 트렌드에 맞게 바꿔주세요... 지금꺼 너무 촌스러워요....;",False,2020-07-11 10:00:58,너무좋아서 개선피드백올려요,로시불가사리,
7,5,넷플릭스도 쓰고 왓챠도 쓰는데 개인적으로 넷플릭스는 오리지널이 있지만 왓챠가 볼건 더 많더라구요 특히 이번에 낭만닥터 김사부 같은 명작도 추가 됬구요 근데 진짜 명탐정코난 11~16기 올려주시면 안될까요 요즘에 너무 재미있게 보고 있는데....,False,2020-04-26 16:13:03,너무 좋습니다,샌드위치냠냠냠,
8,3,"오프닝 건너뛰기 분명히 설정되어 있는데도 어떤 건 되고, 어떤 건 아예 안 되고..
이전엔 화면 오른쪽 위아래 스크롤하면 음량조절 되고 왼쪽 위아래 스크롤하면 밝기조절 됐는데 
지금은 다 안 돼서 일일이 화면 터치한 뒤에 버튼 생기면 조절해야 해서 불편해요
기능을 없앤 건가요? 선택적 적용인가요?
없앤 거라면 다시 생겼으면 좋겠어요. 선택적 적용이라면 다시 되게 해주세요.",False,2021-04-25 07:25:52,어플 오류인가요?,wewwsseww,
9,5,왓챠를 시작하는 모든 사람들에게 꼭 보라고 강추 하고 싶은 작품입니다. 기대 안하고 봤는데 대애박!! 제발 모두 봐주세요 ㅠㅠ 제 주변에도 홍보 많이 하고 있으니 더 재밌는 작품들 많이 많이 업데이트해주세요!,False,2020-05-26 07:25:02,이어즈 앤 이어즈 못본 사람 없게해주세요!,대치동수퍼우먼,
10,4,아니 베이직이용권을 구매해서 구입내역에도 7900원이 결제 됐다고 뜨는데 왜자꾸 들어가면 이용권이 없어서 볼수없다고 하나요. 제돈이 아깝네요 제대로 처리해주시거나 아니면 환불꼭 해주시기 바랍니다.,False,2020-02-14 15:40:33,구매했는데 왜 못보게하죠? 이럴거면 환불해주세요.,또뽀까,
