,userName,content,score,at
0,Kiehunn Bach,"정기구독 끊어야겠음. 메뉴가 변경되어 기존보다 더 불편해졌음. [마이페이지]가 없어져서 매우 불편하고, [썸네일]이 작아져서 알아보기 힘들고, 다 본 작품 메뉴가 사라짐. 전반적으로 메뉴가 조잡해짐. 누가 업데이트 추진했는지, 개념이 없거나, 회사를 말아먹으려고 작정을 한 듯. 만약 디자이너가 바뀌어서 그런 거라면 디자이너 자르시길...그리고 롤백.",1,2022-07-13 02:27:57
1,강아지왈와리우스,"다 좋은데요... 개편하기 전에가 더 훨씬 찾기가 편했어요. 다 본 작품, 재생중인 작품, 맘에드는 작품 분리하는 기능과 바로 평점 남길 수 있는 기능, 국가별과 특징별로 찾을 수 있는 기능이 좋았는데 다 사라지고 그저 너무 넷플릭스 따라한 것 같아서 뭔가 싫어요. 게다가 찜칸이랑 현재 재생하고 있는 작품들, 감상했던 작품들 분류하는 칸이 있어서 편했는데 지금은 다 섞여서 찾기가 어려워요",1,2022-07-07 09:18:51
2,숨ღ,"업데이트 후 정말 가독성 별로에 사용하기 불편합니다. 다 본 작품, 이어보기, 보관함, 다운로드 한 번에 모아 보던 곳도 이상하고 보던 작품 삭제하는 기능도 없어졌네요? 이상한 투데이 카테고리나 생기고.. ott 어플중에 왓챠가 제일 사용하기 편했는데 이제 제일 별로가 됐어요. 진짜 사용하기 너무너무 불편합니다.",1,2022-07-04 23:31:13
3,땡초,기존의 깔끔하게 정리되어 있던 어플리케이션이 가독성 같은 요소를 전혀 신경쓰지 않고 불편하게 바뀌었으며 기존에 있었던 편리한 기능이 모두 사라진 것이 매우 불편합니다. 또한 검색 카테고리가 과도하게 많아져 오히려 찾는데 어려움이 생겼습니다. 빠른 수정 부탁드립니다. 역대 업데이트중 가장 최악입니다.,1,2022-07-10 11:54:57
4,시니,다 본 작품 목록 갑자기 어디간거죠...??? 그 전이 더 나은 거 같은데요... 목록 보는 것도 갑자기 보기 이상해졌고; 콘텐츠 보는 것도 회차 우선이 아닌 콘텐츠 정보 우선인 것도 별로고 제가 본 것들 별점 체크 확인도 바로 볼 수 없고... 전에는 이런 거 다 한번에 볼 수 있었는데 업데이트 한 이유를 솔직히 모르겠어요. 진심 별 5개 였는데 업데이트 한 후로 1개로 변경될 정도로 전이 더 보기 편했어요; 그리고 영상 보는 것고 왜 마지막부터가 위인게 기본으로 설정되어있는지도 의문이네요 ㄹㅇ,1,2022-07-03 05:40:29
5,포롱,"업데이트 정말 별로입니다. 리뷰 남긴적이 없는데 적습니다. 투데이는 왜 생긴건지 모르겠습니다. 사용의 편의도 잘 모르겠습니다. 오히려 거슬리고 불편합니다. 보관함도 아쉽습니다. 이어보기, 다 본 작품, 등 따로 나눠져 있을 때 깔끔하고 알아보기 쉬워 좋았습니다. 모바일 앱으로 보관함에 들어가면 콘텐츠가 전체적으로 눈에 잘 들어오지 않아 불편합니다. 업데이트 후 처음 사용하고 새로 결제 했는데 후회 될 정도로 불편합니다. 이전의 왓챠가 훨씬 깔끔했고 사용하기 편합니다.",1,2022-07-06 03:09:12
6,bad bird,"정말 끔찍한 최악의 업데이트입니다.다 본 작품 목록과 이어보기 목록 뿐만 아니라, 보관함에서 기존의 크고 눈에 잘 띄는 영화의 포스터와 제목의 메리트는 하나도 남김없이 없어지고 대뜸 너무 작아서 보이지도 않는 포스터와 한 줄로 나열되어서 불필요하게 길어졌습니다.최악의 인터페이스 업데이트... 불법 사이트들 보다도 저렴하고 가독성 떨어지는 인터페이스 업데이트입니다.",1,2022-07-08 09:48:43
7,akk M,"아무런 불만없이 꽤 장기간 아주 만족하며 사용하던 어플이었는데... 이번 ui 업데이트 정말 최악입니다. 한번이라도 제대로 사용해보고 변경하기로 결정한건가요? 너무 불편합니다. 특히 예전에 봤던 작품들 모아보는 페이지가 사라진게 치명타 입니다. 예전에 감상했던 작품 눌러서 연관된 컨텐츠들 훑어보다가 새로운 작품 감상하는 일이 많았는데, 이제는 그게 불가능하네요.",1,2022-07-07 01:25:42
8,신영주,"왓챠 정말 잘쓰고 있었는데 이번 업데이트가 너무 실망스럽습니다... ott들 중에서 왓챠가 가장 사용감이 편하고 원하는 정보들을 찾기에 좋았는데요.. 보고싶은 콘텐츠, 보고있는 콘텐츠, 다 본 콘텐츠가 한 섹션에서 아카이브 되는 것이 가장 큰 매력이라 생각했는데 그 부분이 없어져서 많이 아쉽습니다. 바뀐 보관함은 한 콘텐츠마다 칸이 너무 커서 끝없이 스크롤을 내려야한다는 점이 불편했습니다. 무엇보다도 개성이 많이 사라진 느낌이라 아쉽네요.. 다른 ott 어플이랑 많이 비슷해진 것 같아요 ...ㅠㅠ",2,2022-07-04 02:11:24
9,외지?외않되?,"업데이트 된 게 정말.. 화가날 정도로 별로여서 리뷰 남깁니다. 원래는 마이페이지였던 보관함 기능이 너무 퇴화한 것 같아요. 다 본 컨텐츠 목록은 왜 없애셨나요? 이어보기 목록은 왜 없애셨나요? 홈에도 뜨긴 하는데 마이페이지 쪽에서 보는 게 훨씬 편했어요. 그리고 제일 별로인 건, 담아둔 컨텐츠 목록을 왜 그런식으로 바꾸셨나요..ㅜ 사진 정렬이 보기 편했다고요 ㅠ 아 진짜 짜증나네",1,2022-07-02 14:43:57
