,userName,content,score,at
0,vgn0509,"미드, 영화 보면서 영어공부용으로 잘 사용하고 있습니다. 다만, 모바일에서 뒤로가기가 10초 밖에 안 되는 점이 불편합니다. 그래서 '곰플레이어'처럼 뒤로가기를 1초, 3초, 5초 등으로 세세하게 설정 가능했으면 좋겠습니다. 혹은 'KMPlayer' 어플처럼 손가락으로 드래그하면 몇초~몇십초 전으로 뒤로가기 가능하게끔 업데이트되면 좋을 듯합니다. 그러면 넷플릭스로 미드, 영화 보면서 저 포함 영어공부 하는 분들이나 일반 시청자들한테도 굉장히 큰 도움이 될 것 같습니다. 감사합니다.",4,2022-06-21 09:31:49
1,윤서영,"전체적으로 잘 보고있긴하지만 불편한 점이 있어 건의드립니다. 멤버쉽 해지하고나서 나중에 새로운 프로그램 나올때 어떤게있는지 멤버쉽이없더라도 볼수있어야 재가입을 할 가능성이 높아지지않을까요? 가입해야지만 어떤 컨텐츠가있는지 볼수있으니 구매여부를 결정하기가 어렵습니다. 웨이브, 티빙, 왓챠는 이용권없이도 컨텐츠를 볼수 열어놓는데 그런점이 불편하네요. 이용권 해지하고나서도 컨텐츠종류를 볼수있게 앱을 좀 개편해주세요.",3,2022-06-26 14:56:13
2,nhi 03,"요즘 보고 싶은 콘텐츠,흥미로운 콘텐츠가 여럿 들어와서 정말 좋습니다! 그런데 혹시 휴대폰 기준으로 화면비율 조절이라던지 세로로 볼수 있다던지 조정은 불가능할까요? 요즘 정말 잘 쓰고있는지라 이런 사소한 부분이 너무 신경쓰여서요.. 제가 산책을 하며 여러 콘텐츠를 틀어놓고 휴대폰을 세로로 들고 산책을 하는데 화면이 전체화면으로 설정 되있어 그런지 휴대폰을 들때 불편함이 있어서 한번 적어봅니다.. 다음 패치때 이 부분 한번 확인하고 개선 방안이 나오기를 바라겠습니다! 좋은앱 만들어주시고 여러 컨텐츠들을 들여와 주셔서 너무 감사합니다!",5,2022-06-12 21:00:08
3,가뷰,"불편한 점이 소비자 입장에서는 눈에 띄일 수 밖에 없죠. 첫번째, 번역이 정확하지 않아서 약간 신경쓰일 때가 있습니다. 두번째, 이미 계약을 하고 많은 애니들을 방영중인 타 앱이 있는 반면 유명하고 사람들이 많이 즐겨보는 애니매이션이여도 넷플릭스는 방영이 늦습니다. 장점은 기본적인 터치,시간 등 시스템은 거의 완벽해서 좋습니다. 첫번째 문제점의 해결 방법은 구체적으로 번역을 하는 것이고 두번째 문제점의 해결 방법은 시즌계약을 빨리빨리 하는게 해결책인 것 같습니다. 넷플릭스가 더 잘되길 바라는 마음으로써 이 리뷰를 남깁니다",3,2022-06-04 17:56:41
4,샤인시티,넷플릭스 1년 가까이 이용중인데 타사 플랫폼보다 컨텐츠도 많고 여러기능들이 있어 저는 만족합니다. 상담원 분들도 친절하시고 차분히 문제 해결해주시고 감사드립니다. 다만 아쉬운점이 있다면 시리즈편은 전부 올라와 있지 않아서 아쉽습니다.완결된 시르즈물은 빨리 업데이트 해주시면 합니다.,5,2022-05-26 13:34:19
5,박재현,어플 부분으로는 오프라인 저장 기능이 업데이트 돼서 와이파이 없는 공간에서도 컨텐츠를 시청할 수 있어서 젙말 좋았습니다. 외에 재밌는 영화나 드라마들과 자체적으로도 제작하는 컨텐츠들이 매주 나와 구독료가 하나도 아깝지 않습니다! 영화나 드라마를 자주 보는 사람들에게 이 어플을 추천합니다.,5,2022-06-08 19:56:49
6,윤병진,영상 재생시 뒤로가기(10초) 아이콘과 화면 밝기조정 아이콘이 곁쳐서 뒤로가기(10초) 아이콘 클릭이 정상적으로 사용할 수 없고 불편함이 있습니다. 수정 부탁드려요~ 참고로 기종은 갤럭시폴드3 입니다.,4,2022-06-23 11:17:46
7,쀵쀵,"화질 설정이 좀 더 세부적으로 변경되면 좋을 것 같습니다. 저는 군인이라 와이파이를 거의 사용하지 못하고 보통 데이터를 사용하는데, 높은화질을 선택해서 보면 너무 데이터 소진이 빠릅니다. 근데 낮은 화질을 사용하면 또 너무 몰입이 방해가 되어서 720p정도로 화질을 조정해서 보고 싶은데 그게 안돼서 너무 아쉽습니다 ㅠㅠ",3,2022-03-31 09:44:26
8,김찬솔,갑자기 DRM 막은것 같은데 안드로이드 미러캐스팅으로 항상 TV로 편안하게 잘보던 사람인데요. 뭐 딱히 공지도없이 자동 업데이트를 통해서 4월 8일 업데이트 된 이후로 미러캐스팅 후 영상 재생시 TV화면에서 검은 화면만 나옵니다 ㅡㅡ 웃긴게 이 증상은 여자친구 ios에서만 이래서 맨날 제 폰으로만 연결해서 시청했는데 이젠 둘다 막힌듯 하네요.. 이유라도 좀 알고싶네요. 미러캐스팅은 영상을 따로 복제하는 수단이 아닌 단순히 스마트폰의 화면을 크게 보기 위함인데 왜 막아놔서 잘쓰던 사람까지 힘들게 하나요..???? 이유라도 알려주세요 이게 정말 저작권 보호에 효과가 있는건가요??,1,2022-04-17 01:03:37
9,사과,"넷플릭스? 아주 좋습니다만 넷플릭스 게임? 그건 별로인것 같습니다 솔직히 게임 퀄리티도 많이 떨어지고 과금이 없다고 하더라도 거의 미니게임이니 대부분이 사용하지 않습니다 그러니 게임을 없애고 멜론,유튜브 뮤직같은 음원 스트리밍 서비스가 더 좋을 것 같습니다 물론 요금이 더 비싸질 수 도 있지만 넷플릭스 하나로 음악,영화,애니,드라마 등등 볼 수 있다면 좋을 것 같네요:>",4,2022-05-07 23:37:20
10,장재혁,"버그인지 아니면 패치로 바뀌었는지는 모르겠지만, 영상 시청도중 재생 인터페이스가 원래 공백을 터치하면 사라졌는데 지금은 사라지지 않고 밝기조절막대가 켜졌다 꺼졌다 하는데 제발 좀 고쳐주시기 부탁드립니다. 이거 상당히 불편합니다. 심지어 바로 사라지는 것도 아니고 5초 넘게 기다려야 사라지는게 영상 시청에 방해가 됩니다.",1,2022-04-10 13:38:24
11,유찬수,영화측면에서는 진짜 구멍하나 없이 완벽한 부분인데 애니메이션 같은 경우에는 나사가 너무 빠져있습니다 만약에 넷플릭스 한정 애니메이션이 아닌걸 보러오시는거면 비추천입니다 화질은 기기에따라 다르지만 그냥 다른앱을 이용하는게 1.5배 이득입니다 애니가 그렇게 많지도 않고 중간중간 끝나는게 너무 많습니다. 그리고 이게 매주마다 올라오는게 아니니 그게 가장 불편한거 같네요 그냥 라프텔을 보시든 다른앱을 이용하시는게 나을거 같습니다,2,2022-03-29 02:49:45
12,사람,현재 하이큐 팬으로서 하이큐 4기가 없는것에 상당히 충격(?)을 받았습니다. 진짜 다 상관없고 4기좀 올려주세요 제발.... 그것때문에 상당히 스트레스가 심해졌습니다(?) 암튼 진짜 제발 저의 소원입니다... 일본 넷플까지 가서 보기엔 조금 부담...? 스러워서 못보는것도 있고 한글 자막이 나오지 않는다군요. 아무튼 제발... 하이큐 4기!!!,3,2022-01-31 15:20:28
13,ᄋᄉᄋ,넷플릭스 시간 남을때마다 재미있게 보고 있습니다! 기능이 추가되면 정말 좋겠다 싶은게 있는데요 취침기능입니다 보통 잠잘때 넷플을시청하게 되는데 자고 일어나면 회차가 다 넘어갈때가 많습니다 그래서 취침기능이 있으면 이용할때 정말 편리할것같습니다 감사합니다,4,2022-02-27 08:45:46
14,한예은,잘 사용하고 있습니다. 다만 저는 작품 중 분명 한국어 더빙판을 봤는데 관련 정보는 죄다 일본 성우만 표기되어 있어 불편하고 불쾌했습니다. 성우분들께는 배우와 같이 자신이 어떤 작품에서 무슨 캐릭터를 연기하셨는지 즉 커리어가 굉장히 중요합니다. 하지만 어느 작품에서도 한국 성우 표기를 볼 수 없더군요. 한국 성우 표기 제대로 부탁드려요.,2,2022-02-19 22:00:54
15,김우형,"LG Gpad3 8.0(v525) 모바일탭을 사용하고 있는데 최대재생화질이 SD로 되어있어 많이 불편합니다. 앱 업데이트 이전에는 이러한 문제가 없었으나 어느 순간부터 화질이 좋지 않아 찾아 보게 되니 ""재생환경""이라는 부분에 L3에 SD로 되어 있었습니다. DRM Info 앱을 통해 L1 지원기기 인거 확인 했고, 왜 SD로만 영상재생되는지 확인 부탁드립니다. 그리고, HD재생지원 탭 모델에 LG제품은 없는지 알려주세요.",1,2022-03-21 10:34:39
16,김시현,"프리미엄을 결제해서 이용하고 있는데요 서버 문제가 심각한 것 같습니다. 유튜브, 트위치, 아프리카tv등 타플랫폼에 비해 스트리밍서비스가 현저히 낮네요 보기 힘들정도인 화질로 어떻게 보라는건저 모르겠네요 돈을 내고 서비스를 이용하는만큼 어떻게든 넷플릭스측에서 해결해주셨으면 좋겠습니다. 이 문제는 몇달간 겪고 있었습니다. 기종은 스마트폰 갤럭시 s9+를 쓰고있습니다. 노트북에서도 가끔 화질이 안좋아 질 때도 있습니다. 사양은 문제가 없다고 생각합니다. 인터넷 문제도 없구요",1,2022-04-20 21:33:03
