,Unnamed: 0,userName,content,score,thumbsUpCount,at,quarter,year
8080,8080,Google 사용자,앱 설치가 안됨. 계속설치중 피씨에서만 봐야함,1,0,2020-01-01 00:46:28,2020/1Q,2020
11070,11070,Google 사용자,무료체험 사용한 적 없는데 무료체험 넘어가고 일반결제 되었는데 환불 좀 부탁드립니다,1,0,2020-01-01 00:56:19,2020/1Q,2020
19286,19286,Google 사용자,🍒😋,5,0,2020-01-01 02:30:44,2020/1Q,2020
10732,10732,Google 사용자,무료 이용권 쓴 적도 없는데.... 가입되어있음...ㅋ,1,0,2020-01-01 05:15:30,2020/1Q,2020
13415,13415,Google 사용자,제발 렉좀 개선 해주세요... 화병나 미치겠아오,1,1,2020-01-01 08:07:47,2020/1Q,2020
5522,5522,Google 사용자,아니 볼꺼 없어서 맵버쉽 취소했는데 결제 왜 되는거에요? 오늘 결제 됐고 아예 안썼으니깐 그냥 환불해주세요 한달 쓴것도 후회하는데...,1,0,2020-01-01 09:11:10,2020/1Q,2020
7079,7079,Google 사용자,넷플릭스에 등록되어 있다는 애니메이션을 검색했는데도 뜨질 않네요;;,3,0,2020-01-01 10:58:03,2020/1Q,2020
6339,6339,Google 사용자,아무리 사용가는한 카드 를 해도 카드번호 그리고 생년월일 모든게 맞는데 왜 인지 오류 발생으로 계속적으로 카드확인불가 되네요 하....,1,0,2020-01-01 14:21:34,2020/1Q,2020
14348,14348,Google 사용자,앱이 안들어가져요 왜 그런거죠?,1,0,2020-01-01 15:05:26,2020/1Q,2020
7727,7727,Google 사용자,계속 화면은 안나오고 소리만 나오네요...,1,0,2020-01-01 17:31:25,2020/1Q,2020
4178,4178,Google 사용자,종류도 다양하고 계속 무궁무진하게 새로운 영화들도 많이 등장하고 나의 스타일도 빨리 알아서 다른 영화도 빠르게 소개해주는 넷플릭스 감사합니다.,5,10,2020-01-02 01:44:27,2020/1Q,2020
242,242,Google 사용자,레노버 태블릿 사용잡니다. TB_8704F 인데 여태 고화질로 잘 보다가 몇달전부터 SD화질로만 재생이됩니다. 넷플릭스 재생 환경 정보를 보며 보안등급이 L3로 되어있는데.... 이 기기 출시때부터 여태 보안등급이 L1이었고 변한적이 없습니다. 왜 갑자기 보안등급이 안변했는데 넷플릭스만 그렇게 설정된건지 모르겟네요. 언제쯤 다시 고화질로 볼수 있을까요? 개선좀 해주세요,2,3,2020-01-02 03:37:14,2020/1Q,2020
19044,19044,Google 사용자,굿,5,0,2020-01-02 05:10:16,2020/1Q,2020
3051,3051,Google 사용자,왜 점점 영화가 사라지죠? 블랙 팬서 오랜만에 보고 싶어서 검색해봤는데 안 나오고 드래건 길들이기 시즌 1도 검색했더니 안 나오네요 이게 도대체 무슨 경우인지;; 원래 영화를 시간 지나면 사라지게 만들어 놓은 시스템인 건가요? 확인 바랍니다,3,2,2020-01-02 08:26:07,2020/1Q,2020
10541,10541,Google 사용자,영화는 내 삶의 이유이다. 그리고 내 인생의 전부가 되어버린 너.... Netflix,5,0,2020-01-02 08:31:56,2020/1Q,2020
19199,19199,Google 사용자,굿,5,0,2020-01-02 12:02:38,2020/1Q,2020
3433,3433,Google 사용자,리뷰들 보니 넷플릭스 진짜 가관이다ㅠㅠ.... 저렇게나 오류가 많은데 도대체 뭐하고있는건지... 난 홈으로 갈때마다 작게 플로팅되는 화면에 자막이 자꾸 없어지길래 리뷰남기려고 들어왔는데... 돈내고 이용하는만큼 신경좀 써주길. 제발.,2,6,2020-01-02 12:21:33,2020/1Q,2020
2905,2905,Google 사용자,갤럭시 노트10+인데요.. 자꾸 넷플릭스만 실행하면 영상에서 밝기가 낮아져요 삭제했다 다시하면 그 순간 뿐이고 또 그러네요 제발 수정좀 해주세요ㅜㅜ,2,1,2020-01-02 15:08:32,2020/1Q,2020
8167,8167,Google 사용자,볼보고싶은것들은 하나도없고 재미없거나한것밖에 없다...내돈...,1,0,2020-01-02 15:47:43,2020/1Q,2020
11097,11097,Google 사용자,한달 무료라고 해서 가입했는데 12000원 결제되었습니다.,1,0,2020-01-02 16:11:42,2020/1Q,2020
14015,14015,Google 사용자,계정등록때문에불편해요,5,0,2020-01-02 16:12:02,2020/1Q,2020
14381,14381,Google 사용자,오후시간 3시부터6시사이 많이 끊김니다,3,0,2020-01-02 16:41:46,2020/1Q,2020
16012,16012,Google 사용자,ㅎ도돟ㄱㅎㄴㅎㄴㅎㅎㅇㅎㅎㅇㅎ오ㅛ요옿오오ㅠ로로로ㅗ유오ㅗ 오오오ㅠ귱,5,0,2020-01-02 17:09:06,2020/1Q,2020
19203,19203,Google 사용자,대만족 합니다,5,0,2020-01-02 19:49:19,2020/1Q,2020
3386,3386,Google 사용자,폰 자체 자동밝기 설정을 왜 적용안되게 막아놔서 볼때마다 수동으로 밝기조절하게 만듭니까,2,1,2020-01-02 21:11:45,2020/1Q,2020
7709,7709,Google 사용자,팝업화면에서 자막이 안나오는게 너무 불편합니다,3,1,2020-01-03 00:31:25,2020/1Q,2020
4082,4082,Google 사용자,성인인증 에러가 나와요 서비스 센터에 전화해도 도움이 안되네요. 3일째 시도 해봤지만 안되네요.,1,0,2020-01-03 00:43:51,2020/1Q,2020
7127,7127,Google 사용자,tv 하고 연결했을 때 자꾸 오류가 생기네요,4,0,2020-01-03 00:46:40,2020/1Q,2020
9240,9240,Google 사용자,검은 배경에 빨간 Netflix 있는 화면에서 멈춰서 계속 안 들어가져요,1,0,2020-01-03 08:48:53,2020/1Q,2020
19032,19032,Google 사용자,볼거많으다,5,0,2020-01-03 17:02:29,2020/1Q,2020
23087,23087,Google 사용자,좋음,5,0,2020-01-03 17:05:26,2020/1Q,2020
11292,11292,Google 사용자,모바일로보다가 pc에서보려니설치가안되네요,3,0,2020-01-03 17:09:30,2020/1Q,2020
2288,2288,Google 사용자,재생 설정 들어가서 화질을 바꿨는데 계속 초기 화질그대로 안좋게뜹니다. 어떻게된건가요 해결부탁드립니다,2,0,2020-01-03 19:27:55,2020/1Q,2020
1846,1846,Google 사용자,시청시 화면이 작은게 아쉽네요 노트10플러스인데 검은색바탕여백이 남네요 풀스크린으로 시청이 되면 좋을 것 같습니다.,3,0,2020-01-03 19:28:52,2020/1Q,2020
3198,3198,Google 사용자,완전 어두워요...눈이 빠질 것 같네요...ㅠㅠ 화면 밝기 최대해도 어두워요...참고 보고 참았다 보고...열받아 끌때가 많아요...무료 30일 얼마 안 남았는데...해지와 결제....고민중이에요...(프로그램은 많은데...ㅠㅠ),1,6,2020-01-03 19:48:24,2020/1Q,2020
105,105,Google 사용자,"ott서비스들 박터지게 경쟁하고있는데 기본적인 서비스가 아주 개판입니다. 재생바 떠있는거 바로바로 없앨수있던건 왜 돌연 없앴으며, 플로팅창에서 자막은 왜 나왔다 안나왔다 합니까? ipad os에서는 자막을 무식하게 키워놔서 화면의 삼분의 일은 가려놓더니, 안드로이드 os에서는 재생바 범벅으로 몇초간이나 못지우게 하면서 갖가지 방법으로 영상을 못보게 가리네요?ㅋ 영상보라고 돈 받아먹으면서 영상을 가려놓는건 무슨 도둑놈심보인지 듣도보도 못한 저질 서비임. 왓챠도 화질개선 됐겠다.. 넷플릭스는 영화컨텐츠 도 점점 사라지고 자체제작 컨텐츠가 아주 재밌지 않으면 이제 구독할 이유가 없네요.",1,1,2020-01-03 20:57:30,2020/1Q,2020
23068,23068,Google 사용자,좋아요,5,0,2020-01-03 21:56:22,2020/1Q,2020
2889,2889,Google 사용자,잘보고 있긴하나 자막 밝기 조절도 되게 해주세요 화면만 어둡고 자막은 너무 밝아서 눈이 부셔요,2,0,2020-01-03 22:35:31,2020/1Q,2020
23294,23294,Google 사용자,쌉노잼,1,0,2020-01-03 22:57:07,2020/1Q,2020
6038,6038,Google 사용자,갤노트8 으로 잘보던중 어느날부터 재생 중 계속 멈춤. 튕김.. 이건 뭐 보지 말라는거네요. 고칠 생각이 없는것 같네요?? 이 정도면 리콜해야 하는것 아님??,1,1,2020-01-03 23:23:01,2020/1Q,2020
4967,4967,Google 사용자,맘에들어요 그러나 옛날꺼 퍽시픽림 겨울왕국등등도 있는게 그 것 보다 더 오래전에 나온 구가의서 나 최근?으로하자면 도깨비 등등도 나오면 정말 좋을거같아요,4,12,2020-01-04 02:23:33,2020/1Q,2020
6360,6360,Google 사용자,너무 좋은데 대탈출하고 신서유기도 추가해주시면 좋겠어용~~,4,1,2020-01-04 03:13:15,2020/1Q,2020
1147,1147,Google 사용자,노트9 사용하고 있는데 새해부터 갑자기 영상을 재생할 수 없다고 해요! 근데 이미 다운로드한 것도 그렇고 다운로드하지 않은것도 그렇고요! 거기서 가장 비싼걸로 선택해서 요금내서 보고있는데 1월1일에 계좌에서 돈도 나갔는데 안되네요! 핸드폰 어플만 그런데 빨리 고쳐주세요.,3,3,2020-01-04 11:40:46,2020/1Q,2020
16213,16213,Google 사용자,"토리코,라퓨타등 없어요",1,0,2020-01-04 12:02:32,2020/1Q,2020
10935,10935,Google 사용자,아니 왜 가디언즈가 없어졌냐구요😭 원래 있었잖아요... 가디언즈는 제 최애 영화인데... 없어지면 어떻게 살라고😭😭😭,1,0,2020-01-04 12:06:57,2020/1Q,2020
11737,11737,Google 사용자,좋은데 오늘부터 우리는!! 하고 크로우즈제로 보고싶어요~~♥♥,4,0,2020-01-04 16:33:17,2020/1Q,2020
6826,6826,Google 사용자,너무 짱이고..돈내는거비해 너무 진짜 하나도안아까움......,5,0,2020-01-04 18:51:04,2020/1Q,2020
19074,19074,Google 사용자,외국어 공부를 위해 이용하고 있습니다. 영어권 이외에도 스페인어와 불어 컨텐츠가 보강되었으면 합니다. 배속 기능은 없나요?,2,10,2020-01-04 21:53:59,2020/1Q,2020
6421,6421,Google 사용자,왜 줄거리에 결말을 적어놓는 거죠 대체...ㅋㅋ 긴장감 있게 보다가 김이 팍 새네 ㄹㅇ,2,0,2020-01-04 23:34:31,2020/1Q,2020
19024,19024,Google 사용자,please tell me that you are going to make anne with an'E' season4!!!!please.....제발...빨간머리앤 시즌 4만들어주세요....!!!,5,0,2020-01-05 00:06:40,2020/1Q,2020
3209,3209,Google 사용자,울트라hd쓰는데 왜 자꾸 지맘대로 화질이 낮아지는거임 인터넷 환경이고 자시고 그냥 고화질로 틀라고요 아니면 내가직접 설정하게 해주던가ㅡㅡ,1,1,2020-01-05 02:03:36,2020/1Q,2020
2921,2921,Google 사용자,자꾸멈춤현상일어나네요 와이파이 잘터지고 무제한 데이터인데 ( 데이터안심옵션x) 열받습니다 3주째,1,0,2020-01-05 02:44:05,2020/1Q,2020
14033,14033,Google 사용자,매우 만족합니다.,5,0,2020-01-05 09:50:56,2020/1Q,2020
2177,2177,Google 사용자,잘쓰다가 요즘 자구 재생오류가 뜨네요 화면은 안나오는데 음성이랑 자막만 나오거나 아니면 음성만 나오는 경우가 많아요 다시 지우고 깔아도 계속 그러네요,3,0,2020-01-05 10:58:50,2020/1Q,2020
455,455,Google 사용자,"로그인이안됩니다.. 멀쩡히 잘시청하고있다가 잠시로그아웃하게돼서 다시로그인 하려는데 계속 이번호로된 계정을 찾을수 없다고하네요 삭제하고 다시깔아도 똑같아요. 고객센터 버튼을 눌러보면 제 이름이 뜬상태, 로그인된 상태로 고객센터가 들어가지는데 앱자체로그인은 전혀안되는상황이니..황당하네요 어떻게해야하나요",1,13,2020-01-05 13:53:46,2020/1Q,2020
7632,7632,Google 사용자,진짜 시간만지나고 한벟도 노합... 다시생각해도 짜징,1,0,2020-01-05 13:56:51,2020/1Q,2020
7970,7970,Google 사용자,다 좋은데 배속 기능이 있었으면 좋겠어요.,4,0,2020-01-05 14:06:46,2020/1Q,2020
22980,22980,Google 사용자,oh!good,4,0,2020-01-05 15:28:37,2020/1Q,2020
11663,11663,Google 사용자,다 좋은데 제발 계정 들어갈때 비밀번호 풀라고 만들어주심 안되ㄴㅏ요?,5,0,2020-01-05 17:12:16,2020/1Q,2020
3522,3522,Google 사용자,12월 말부터 영상 재생이 안됨. 하루이틀 지나면 오류 해결해주겠지 싶었는데 아직도 해결이 안됨. 자막과 소리만 나옵니다.,1,0,2020-01-05 17:34:45,2020/1Q,2020
10989,10989,Google 사용자,왕좌의 게임 추가 해 주실수 있나요? 헝거게임 모킹제이 더 퍼이널 추가해주세요!,4,0,2020-01-05 17:37:26,2020/1Q,2020
9246,9246,Google 사용자,구글플레이에서 자동 결제가 잘되고있었는데 갑자기 신용카드 체크카드 정보를 입력하라고 하네요. 이젠 구글플레이로 결제못하나요?,3,0,2020-01-05 18:02:15,2020/1Q,2020
